date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:07	26/26	---M--	200	added ('OK')	text/plain	date:Wed,%2019%20Oct%202022%2012:51:09%20GMT	https://dtpregnancy.wpengine.com/robots.txt		(from )
18:21:07	99112/99112	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2012:51:09%20GMT	https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/index.html	(from )
18:21:07	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:51:09%20GMT	http://explorercanvas.googlecode.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/explorercanvas.googlecode.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:07	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:51:09%20GMT	http://fonts.googleapis.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/fonts.googleapis.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:07	1905/1905	---MC-	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2012:51:09%20GMT	https://fonts.googleapis.com/css?family=Lato:100,300,regular,700,900%7COpen+Sans:300%7CIndie+Flower:regular%7COswald:300,regular,700&subset=latin%2Clatin-ext	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/fonts.googleapis.com/css0f22.css	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:08	204/204	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jan%202021%2022:04:58%20GMT	http://maxcdn.bootstrapcdn.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/maxcdn.bootstrapcdn.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:08	178/178	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Oct%202022%2012:51:10%20GMT	http://code.jquery.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:08	86530/86530	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2012:51:10%20GMT	http://s.w.org/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/s.w.org/index.html	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:08	9475/9475	---MCZ	200	added ('OK')	text/css	etag:W/%22622abd8e-2503%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto5b21.css	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:09	32773/32773	---M-Z	200	added ('OK')	text/css	etag:W/%2262f659d6-8005%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui5b21.css	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:09	29063/29063	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css?ver=4.6.3	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min4698.css	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:09	4602/4602	---MC-	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2012:51:11%20GMT	https://fonts.googleapis.com/css?family=Open+Sans%3A300%2C300italic%2C400%2C400italic%2C500%2C600%2C700%2C800%7CQuicksand%3A300%2C300italic%2C400%2C400italic%2C500%2C600%2C700%2C800%7CRaleway%3A300%2C300italic%2C400%2C400italic%2C500%2C600%2C700%2C800&subset&ver=2.3	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/fonts.googleapis.com/csscd70.css	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:10	21553/21553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22622abd8e-5431%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min005e.js	(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:10	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Oct%202022%2012:51:12%20GMT	http://fonts.googleapis.com/robots.txt		(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:11	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:51:13%20GMT	http://explorercanvas.googlecode.com/robots.txt		(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:11	70/70	---M-Z	200	added ('OK')	text/plain	date:Wed,%2019%20Oct%202022%2012:51:13%20GMT	http://code.jquery.com/robots.txt		(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:11	344/344	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:51:13%20GMT	http://maxcdn.bootstrapcdn.com/robots.txt		(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:12	574/574	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2012:51:14%20GMT	http://maxcdn.bootstrapcdn.com/'https://www.bootstrapcdn.com/'	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/maxcdn.bootstrapcdn.com/'https_/www.bootstrapcdn.com/'	(from http://maxcdn.bootstrapcdn.com/)
18:21:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Oct%202022%2012:51:14%20GMT	http://s.w.org/robots.txt		(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:13	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Oct%202022%2012:51:15%20GMT	https://fonts.googleapis.com/robots.txt		(from https://dtpregnancy.wpengine.com/side-navigation/prenatal-care-tests/)
18:21:13	1738/1738	---M--	200	added ('OK')	image/gif	etag:%22620cd700-6ca%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/animated-overlay.gif	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/images/animated-overlay.gif	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2)
18:21:13	247/247	---M--	200	added ('OK')	image/png	etag:%22611feaca-f7%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2)
18:21:14	319/319	---M--	200	added ('OK')	image/png	etag:%22611feaca-13f%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2)
18:21:14	301/301	---M--	200	added ('OK')	image/png	etag:%22611feaca-12d%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2)
18:21:14	301/301	---M--	200	added ('OK')	image/png	etag:%22611feaca-12d%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2)
18:21:14	246/246	---M--	200	added ('OK')	image/png	etag:%22611feaca-f6%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2)
18:21:15	374/374	---M--	200	added ('OK')	image/png	etag:%22611feaca-176%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2)
18:21:15	371/371	---M--	200	added ('OK')	image/png	etag:%22620cd700-173%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/PrenatalCareTest/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2)
