date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:59	26/26	---M--	200	added ('OK')	text/plain	date:Wed,%2019%20Oct%202022%2017:13:01%20GMT	https://dtpregnancy.wpengine.com/robots.txt		(from )
22:43:00	173403/173403	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2017:13:01%20GMT	https://dtpregnancy.wpengine.com/blog-classic/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/dtpregnancy.wpengine.com/blog-classic/index.html	(from )
22:43:00	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2017:13:02%20GMT	http://explorercanvas.googlecode.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/explorercanvas.googlecode.com/index.html	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:00	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Oct%202022%2017:13:02%20GMT	http://fonts.googleapis.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/fonts.googleapis.com/index.html	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:00	178/178	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Oct%202022%2017:13:02%20GMT	http://code.jquery.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/code.jquery.com/index.html	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:01	1905/1905	---MC-	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2017:13:02%20GMT	https://fonts.googleapis.com/css?family=Lato:100,300,regular,700,900%7COpen+Sans:300%7CIndie+Flower:regular%7COswald:300,regular,700&subset=latin%2Clatin-ext	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/fonts.googleapis.com/css0f22.css	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Oct%202022%2017:13:02%20GMT	http://s.w.org/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/s.w.org/index.html	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:01	204/204	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jan%202021%2022:04:58%20GMT	http://maxcdn.bootstrapcdn.com/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/maxcdn.bootstrapcdn.com/index.html	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:01	9475/9475	---MCZ	200	added ('OK')	text/css	etag:W/%22622abd8e-2503%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto5b21.css	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:02	29063/29063	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css?ver=4.6.3	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min4698.css	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:03	32773/32773	---M-Z	200	added ('OK')	text/css	etag:W/%2262f659d6-8005%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui5b21.css	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:03	4602/4602	---MC-	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2017:13:05%20GMT	https://fonts.googleapis.com/css?family=Open+Sans%3A300%2C300italic%2C400%2C400italic%2C500%2C600%2C700%2C800%7CQuicksand%3A300%2C300italic%2C400%2C400italic%2C500%2C600%2C700%2C800%7CRaleway%3A300%2C300italic%2C400%2C400italic%2C500%2C600%2C700%2C800&subset&ver=2.3	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/fonts.googleapis.com/csscd70.css	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:04	14983/14983	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2017:13:05%20GMT	https://player.vimeo.com/video/64092973?h=88d440f870&dnt=1&app_id=122963	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/player.vimeo.com/video/64092973cf6f.html	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:04	64917/64917	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2017:13:06%20GMT	https://www.youtube.com/embed/NhutLj3SVzQ?feature=oembed	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/www.youtube.com/embed/NhutLj3SVzQ5b2e.html	(from https://dtpregnancy.wpengine.com/blog-classic/)
22:43:05	21553/21553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22622abd8e-5431%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/AASTHA-WC/blog-classic/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min005e.js	(from https://dtpregnancy.wpengine.com/blog-classic/)
