date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:37	26/26	---M--	200	added ('OK')	text/plain	date:Mon,%2010%20Oct%202022%2017:08:37%20GMT	https://dtpregnancy.wpengine.com/robots.txt		(from )
22:38:37	153466/153466	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2017:08:38%20GMT	https://dtpregnancy.wpengine.com/home-classic/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/home-classic/index.html	(from )
22:38:38	9475/9475	---MCZ	200	added ('OK')	text/css	etag:W/%22622abd8e-2503%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto5b21.css	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:39	32773/32773	---M-Z	200	added ('OK')	text/css	etag:W/%2262f659d6-8005%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.2	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui5b21.css	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:41	29063/29063	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css?ver=4.6.3	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min4698.css	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:42	6037/6037	---M--	200	added ('OK')	image/png	etag:%225dc3c61f-1795%22	http://dtpregnancy.wpengine.com/wp-content/uploads/2016/06/logo.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/wp-content/uploads/2016/06/logo.png	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:44	2165/2165	---M--	200	added ('OK')	image/png	etag:%225dc3c61f-875%22	http://dtpregnancy.wpengine.com/wp-content/uploads/2016/06/link1.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/wp-content/uploads/2016/06/link1.png	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:45	11939/11939	---M--	200	added ('OK')	image/png	etag:%225dc3c61f-2ea3%22	http://dtpregnancy.wpengine.com/wp-content/uploads/2016/06/1-circle.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/wp-content/uploads/2016/06/1-circle.png	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:46	3154/3154	---M--	200	added ('OK')	image/png	etag:%225dc3c61f-c52%22	http://dtpregnancy.wpengine.com/wp-content/uploads/2016/06/link2.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/wp-content/uploads/2016/06/link2.png	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:46	14463/14463	---M--	200	added ('OK')	image/png	etag:%225dc3c61f-387f%22	http://dtpregnancy.wpengine.com/wp-content/uploads/2016/06/2-circle.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/wp-content/uploads/2016/06/2-circle.png	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:47	8163/8163	---M--	200	added ('OK')	image/png	etag:%225dc3c61f-1fe3%22	http://dtpregnancy.wpengine.com/wp-content/uploads/2016/06/3-circle.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/wp-content/uploads/2016/06/3-circle.png	(from https://dtpregnancy.wpengine.com/home-classic/)
22:38:49	12390/12390	---M--	200	added ('OK')	image/png	etag:%225dc3c61f-3066%22	http://dtpregnancy.wpengine.com/wp-content/uploads/2016/06/4-circle.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/GYNAEC/HOMECLASSIC/dtpregnancy.wpengine.com/wp-content/uploads/2016/06/4-circle.png	(from https://dtpregnancy.wpengine.com/home-classic/)
