date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:25	26/26	---M--	200	added ('OK')	text/plain	date:Fri,%2004%20Nov%202022%2005:12:26%20GMT	https://dtpregnancy.wpengine.com/robots.txt		(from )
10:42:26	100289/100289	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202022%2005:12:27%20GMT	https://dtpregnancy.wpengine.com/proin-tincidunt-nunc/	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/dtpregnancy.wpengine.com/proin-tincidunt-nunc/index.html	(from )
10:42:26	9475/9475	---MCZ	200	added ('OK')	text/css	etag:W/%22622abd8e-2503%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=6.0.3	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto1eb7.css	(from https://dtpregnancy.wpengine.com/proin-tincidunt-nunc/)
10:42:27	32773/32773	---M-Z	200	added ('OK')	text/css	etag:W/%2262f659d6-8005%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.3	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui1eb7.css	(from https://dtpregnancy.wpengine.com/proin-tincidunt-nunc/)
10:42:28	21553/21553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22622abd8e-5431%22	http://dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/dtpregnancy.wpengine.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.30	(from https://dtpregnancy.wpengine.com/proin-tincidunt-nunc/)
10:42:29	29063/29063	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css?ver=4.6.3	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min4698.css	(from https://dtpregnancy.wpengine.com/proin-tincidunt-nunc/)
10:42:29	1738/1738	---M--	200	added ('OK')	image/gif	etag:%22620cd700-6ca%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/animated-overlay.gif	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/code.jquery.com/ui/1.11.0/themes/smoothness/images/animated-overlay.gif	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.3)
10:42:29	247/247	---M--	200	added ('OK')	image/png	etag:%2262f659d6-f7%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.3)
10:42:29	319/319	---M--	200	added ('OK')	image/png	etag:%22611feaca-13f%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.3)
10:42:30	301/301	---M--	200	added ('OK')	image/png	etag:%22611feaca-12d%22	https://code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	D:/WORK/DESIGNING-WORLD4/WEBSITE-WORK/MEDICO-FIELD/GYNAEC/AASTHA-WC/AasthaWomensClinic/dtpregnancy.wpengine.com/PROIN%20TINCIDUNT%20NUNC/code.jquery.com/ui/1.11.0/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from https://code.jquery.com/ui/1.11.0/themes/smoothness/jquery-ui.css?ver=6.0.3)
